name,x,y,z,,x1,y1,z1
23.01,310241.98,2739540.603,774.335,,,,
23.02,310242.1175,2739542.584,774.98,,,,
23.03,310242.4797,2739545.285,775.78,,,,
23.04,310243.0456,2739547.739,776.58,,,,
23.05,310245.7155,2739551.143,775.08,,,,
23.06,310247.4206,2739553.743,776.58,,,,
23.07,310249.7462,2739555.78,776.98,,,,
23.08,310251.9943,2739556.064,776.58,,,,
23.09,310254.3643,2739557.428,776.78,,,,
23.1,310256.3091,2739558.22,776.08,,,,
23.11,310258.0313,2739559.354,776.08,,,,
23.12,310260.3365,2739559.92,776.18,,,,
23.13,310263.7382,2739561.444,775.98,,,,
24.01,310243.2222,2739550.682,777.57,,,,
24.01,310262.4841,2739563.494,777.77,,,,
24.02,310243.5614,2739552.111,777.87,,,,
24.03,310244.7076,2739554.232,778.57,,,,
24.04,310245.8032,2739555.91,778.77,,,,
24.05,310247.5211,2739557.808,779.57,,,,
24.06,310250.8469,2739558.916,778.67,,,,
24.07,310254.4397,2739561.289,779.17,,,,
24.08,310256.7962,2739562.623,779.07,,,,
24.09,310258.8544,2739563.698,779.17,,,,
F,310245.9609,2739527.357,763.9675,,,,
I,310253.609,2739520.362,753.2925,,,,
N 1.1,310267.5111,2739506.532,737.2225,,,,
N 1.2,310273.1053,2739511.564,738.3225,,,,
N 10.15,310261.2349,2739521.931,749.715,,,,
N 11.25,310271.4371,2739526.669,749.715,,,,
N 11.34,310270.3914,2739528.048,751.115,,,,
N 2.2,310269.1271,2739513.656,740.4225,,,,
N 2.3,310273.3315,2739515.67,739.6225,,,,
N 2.4,310277.5475,2739515.604,739.8225,,,,
N 3.7,310278.287,2739518.418,741.6225,,,,
N 8.18,310271.934,2739524.698,748.35,,,,
N 9.13,310262.0259,2739520.887,748.415,,,,
n.1,310264.6063,2739554.376,769.785,,,,
n.10,310245.2276,2739547.627,775.205,,,,
n.10.12,310261.1036,2739527.325,753.43,,,,
n.11,310245.9941,2739547.791,773.705,,,,
n.12,310247.2974,2739549.675,773.905,,,,
n.13,310247.212,2739548.421,773.405,,,,
n.14,310255.0613,2739552.196,771.205,,,,
n.14.9,310253.1243,2739528.762,759.2825,,,,
n.15,310249.0695,2739540.24,768.305,,,,
n.15.05,310247.6591,2739527.434,761.8825,,,,
n.15.07,310253.5862,2739530.88,761.0825,,,,
n.16,310246.4605,2739541.718,770.805,,,,
n.16.02,310245.8646,2739520.458,763.4825,,,,
n.16.06,310248.3835,2739528.549,762.6825,,,,
n.17,310243.5127,2739542.661,772.705,,,,
n.17.06,310247.6308,2739530.203,763.7825,,,,
n.18,310243.6797,2739539.956,772.905,,,,
n.18.05,310246.9411,2739530.821,764.6375,,,,
n.19,310244.5911,2739539.956,771.205,,,,
n.2,310251.3832,2739550.857,771.58,,,,
n.20,310246.2738,2739539.159,769.805,,,,
n.21,310244.1537,2739534.79,768.78,,,,
n.22,310243.6285,2739533.067,768.59,,,,
n.23,310244.3208,2739531.504,767.79,,,,
n.24,310255.1172,2739529.467,758.33,,,,
n.25,310253.2113,2739527.822,758.73,,,,
n.26,310255.4155,2739528.787,757.83,,,,
n.27,310257.2812,2739529.877,757.23,,,,
n.28,310257.7833,2739529.589,756.83,,,,
n.29,310255.3611,2739527.018,756.63,,,,
n.3,310264.9625,2739557.082,772.08,,,,
n.30,310255.7998,2739524.413,754.23,,,,
n.31,310257.1422,2739525.223,754.33,,,,
n.32.1,310258.928,2739526.133,753.83,,,,
n.32.2,310263.4384,2739528.386,754.03,,,,
n.33,310265.1998,2739529.401,754.23,,,,
n.34,310267.8264,2739531.355,755.13,,,,
n.35,310275.7016,2739535.601,754.215,,,,
n.36,310273.6123,2739537.398,757.115,,,,
n.37,310267.8181,2739532.664,756.42,,,,
n.38,310255.7565,2739520.803,753.22,,,,
n.39,310257.5962,2739522.626,751.72,,,,
n.4,310263.5691,2739556.209,771.98,,,,
n.40,310262.7907,2739526.736,752.22,,,,
n.41,310265.4002,2739527.571,752.62,,,,
n.42,310267.3912,2739528.887,752.52,,,,
n.43,310275.2371,2739529.501,751.1,,,,
n.44,310268.5503,2739526.145,749.815,,,,
n.45,310268.3432,2739526.882,750.315,,,,
n.46,310266.1827,2739524.072,750.515,,,,
n.47,310262.6046,2739524.504,750.715,,,,
n.48,310263.1686,2739522.65,749.415,,,,
n.5,310264.2576,2739555.613,770.28,,,,
n.50,310263.4817,2739520.977,748.245,,,,
n.51,310259.3571,2739512.291,747.65,,,,
n.52,310259.5453,2739516.413,747.15,,,,
n.53,310272.8184,2739537.645,757.2675,,,,
n.54,310271.2326,2739535.775,756.8675,,,,
n.55,310276.8886,2739535.37,753.0675,,,,
n.56,310272.9954,2739532.45,753.9675,,,,
n.57,310275.5316,2739529.441,751.0675,,,,
n.58,310276.5573,2739527.132,750.4675,,,,
n.59,310258.8413,2739518.119,748.7675,,,,
n.6,310261.6509,2739555.174,771.18,,,,
n.60,310257.3706,2739520.726,750.7675,,,,
n.61,310261.5737,2739508.971,744.9925,,,,
n.62,310260.7064,2739513.386,744.8925,,,,
n.63,310259.7477,2739512.98,746.4925,,,,
n.64,310259.514,2739511.78,746.2925,,,,
n.65,310260.1985,2739510.857,746.1925,,,,
n.66,310268.0942,2739518.715,746.5925,,,,
n.67,310269.4398,2739519.463,745.1675,,,,
n.68,310270.609,2739520.045,745.0675,,,,
n.69,310275.5038,2739522.28,746.8675,,,,
n.7,310259.2695,2739554.293,771.58,,,,
n.70,310276.2924,2739519.736,744.8675,,,,
n.71,310274.3701,2739519.001,743.9675,,,,
n.72,310273.5657,2739518.042,742.7825,,,,
n.73,310271.1684,2739517.6,742.6675,,,,
n.74,310268.5576,2739516.055,744.4675,,,,
n.75,310263.9225,2739514.497,743.7675,,,,
n.76,310267.8816,2739507.999,737.5225,,,,
n.77,310266.205,2739511.162,740.1225,,,,
n.78,310267.2733,2739511.833,740.6225,,,,
n.79,310268.1384,2739512.862,740.3225,,,,
n.8,310258.4318,2739556.678,773.18,,,,
n.80,310270.456,2739514.49,740.6225,,,,
n.81,310271.1513,2739515.44,740.9225,,,,
n.82,310271.9164,2739516.12,740.9225,,,,
n.83,310274.7726,2739516.008,739.2225,,,,
n.84,310275.6159,2739516.165,739.2225,,,,
n.85,310276.864,2739516.971,740.3225,,,,
n.86,310269.3665,2739508.624,737.5225,,,,
n.87,310271.0952,2739509.834,738.0225,,,,
n.88,310272.1398,2739510.927,738.7225,,,,
n.89,310273.9829,2739513.04,738.7225,,,,
n.9,310258.6461,2739557.492,774.48,,,,
n.90,310275.4957,2739514.46,738.6225,,,,
n.91,310244.1041,2739531.999,767.4475,,,,
n.92,310242.4471,2739532.706,769.0775,,,,
n.93,310244.5055,2739534.51,768.2775,,,,
n.94,310245.9596,2739534.928,767.515,,,,
n.95,310246.809,2739534.3,766.715,,,,
n.96,310244.8222,2739535.937,768.415,,,,
n.97,310245.5327,2739538.545,769.115,,,,
N0.1,310274.9729,2739511.913,738.9675,,,,
N11.39,310269.9174,2739529.742,752.22,,,,
N12.23,310276.6278,2739538.094,755.415,,,,
N4.05,310265.0173,2739518.149,746.3925,,,,
N4.06,310271.8348,2739521.192,745.6675,,,,
N4.07,310272.2649,2739517.572,743.2675,,,,
N4.08,310277.8718,2739520.194,744.5675,,,,
x.08,310258.5247,2739528.398,755.93,,,,
X.1,310253.6124,2739523.01,755.6825,,,,
x.100,310270.614,2739518.028,743.4675,,,,
x.104,310274.1985,2739522.271,746.9675,,,,
X.11,310251.4518,2739527.04,759.3825,,,,
x.12,310254.2946,2739527.548,757.53,,,,
x.126,310264.8564,2739507.545,741.1775,,,,
x.14,310257.2436,2739527.114,755.63,,,,
x.142,310277.4171,2739522.184,746.9275,,,,
x.16,310259.0788,2739523.047,751.02,,,,
X.18,310273.0917,2739539.286,757.9575,,,,
x.19,310259.2749,2739529.886,756.03,,,,
X.200,310245.9291,2739529.957,764.9825,,,,
X.223,310249.3469,2739527.665,761.3825,,,,
x.24,310264.116,2739531.345,756.12,,,,
X.25,310269.6802,2739523.644,748.145,,,,
x.26,310272.2238,2739533.603,755.03,,,,
x.27,310270.3235,2739534.02,756.115,,,,
x.28,310272.4234,2739535.755,756.415,,,,
x.31,310273.0287,2739534.439,755.23,,,,
x.44,310272.2323,2739530.999,753.12,,,,
x.45,310275.2399,2739533.873,753.52,,,,
x.46,310276.7059,2739534.64,753.11,,,,
x.47,310278.2941,2739534.878,751.944,,,,
X.48,310271.8273,2739526.105,749.415,,,,
x.51,310270.7145,2739520.976,745.7675,,,,
X.53,310265.4991,2739525.762,751.715,,,,
X.57,310267.755,2739525.826,749.685,,,,
X.60,310275.6108,2739524.973,749.515,,,,
X.61,310272.7395,2739526.909,750.215,,,,
X.67,310268.3333,2739522.49,748.545,,,,
X.68,310266.4413,2739521.455,748.9725,,,,
X.71,310274.4966,2739552.671,764.5675,,,,
X.72,310275.4656,2739551.023,763.6675,,,,
X.73,310274.7358,2739545.63,761.4575,,,,
X.74,310276.4974,2739546.236,760.8575,,,,
X.75,310277.6974,2739547.15,760.7575,,,,
X.77,310276.6489,2739545.198,759.9575,,,,
X.78,310278.2929,2739545.437,759.4575,,,,
X.81,310276.0176,2739543.03,758.9575,,,,
X.82,310274.2482,2739541.854,758.9575,,,,
X.84,310278.2033,2739542.503,757.2575,,,,
X.85,310279.5601,2739542.493,756.9575,,,,
x.92,310278.3011,2739536.654,753.111,,,,
X.94,310279.5657,2739528.668,749.026,,,,
X.96,310270.9797,2739523.584,747.945,,,,
